name,symbol,atomicNumber,atomicMass,cpkColor
 Hydrogen, H ,1,1.00794,FFFFFF
 Helium, He ,2,4.002602,D9FFFF
 Lithium, Li ,3,6.941,CC80FF
 Beryllium, Be ,4,9.012182,C2FF00
 Boron, B ,5,10.811,FFB5B5
 Carbon, C ,6,12.0107,909090
 Nitrogen, N ,7,14.0067,3050F8
 Oxygen, O ,8,15.9994,FF0D0D
 Fluorine, F ,9,18.9984032,1FF01F
 Neon, Ne ,10,20.1797,B3E3F5
 Sodium, Na ,11,22.98976928,AB5CF2
 Magnesium, Mg ,12,24.3050,8AFF00
 Aluminum or Aluminium, Al ,13,26.9815386,BFA6A6
 Silicon, Si ,14,28.0855,F0C8A0
 Phosphorus, P ,15,30.973762,FF8000
 Sulfur, S ,16,32.065,FFFF30
 Chlorine, Cl ,17,35.453,1FF01F
 Argon, Ar ,18,39.948,80D1E3
 Potassium, K ,19,39.0983,8F40D4
 Calcium, Ca ,20,40.078,3DFF00
 Scandium, Sc ,21,44.955912,E6E6E6
 Titanium, Ti ,22,47.867,BFC2C7
 Vanadium, V ,23,50.9415,A6A6AB
 Chromium, Cr ,24,51.9961,8A99C7
 Manganese, Mn ,25,54.938045,9C7AC7
 Iron, Fe ,26,55.845,E06633
 Cobalt, Co ,27,58.933195,F090A0
 Nickel, Ni ,28,58.6934,50D050
 Copper, Cu ,29,63.546,C88033
 Zinc, Zn ,30,65.38,7D80B0
 Gallium, Ga ,31,69.723,C28F8F
 Germanium, Ge ,32,72.64,668F8F
 Arsenic, As ,33,74.92160,BD80E3
 Selenium, Se ,34,78.96,FFA100
 Bromine, Br ,35,79.904,A62929
 Krypton, Kr ,36,83.798,5CB8D1
 Rubidium, Rb ,37,85.4678,702EB0
 Strontium, Sr ,38,87.62,00FF00
 Yttrium, Y ,39,88.90585,94FFFF
 Zirconium, Zr ,40,91.224,94E0E0
 Niobium, Nb ,41,92.90638,73C2C9
 Molybdenum, Mo ,42,95.96,54B5B5
 Technetium, Tc ,43,[98],3B9E9E
 Ruthenium, Ru ,44,101.07,248F8F
 Rhodium, Rh ,45,102.90550,0A7D8C
 Palladium, Pd ,46,106.42,006985
 Silver, Ag ,47,107.8682,C0C0C0
 Cadmium, Cd ,48,112.411,FFD98F
 Indium, In ,49,114.818,A67573
 Tin, Sn ,50,118.710,668080
 Antimony, Sb ,51,121.760,9E63B5
 Tellurium, Te ,52,127.60,D47A00
 Iodine, I ,53,126.90447,940094
 Xenon, Xe ,54,131.293,429EB0
 Cesium, Cs ,55,132.9054519,57178F
 Barium, Ba ,56,137.327,00C900
 Lanthanum, La ,57,138.90547,70D4FF
 Cerium, Ce ,58,140.116,FFFFC7
 Praseodymium, Pr ,59,140.90765,D9FFC7
 Neodymium, Nd ,60,144.242,C7FFC7
 Promethium, Pm ,61,[145],A3FFC7
 Samarium, Sm ,62,150.36,8FFFC7
 Europium, Eu ,63,151.964,61FFC7
 Gadolinium, Gd ,64,157.25,45FFC7
 Terbium, Tb ,65,158.92535,30FFC7
 Dysprosium, Dy ,66,162.500,1FFFC7
 Holmium, Ho ,67,164.93032,00FF9C
 Erbium, Er ,68,167.259,0E+00
 Thulium, Tm ,69,168.93421,00D452
 Ytterbium, Yb ,70,173.054,00BF38
 Lutetium, Lu ,71,174.9668,00AB24
 Hafnium, Hf ,72,178.49,4DC2FF
 Tantalum, Ta ,73,180.94788,4DA6FF
 Tungsten, W ,74,183.84,2194D6
 Rhenium, Re ,75,186.207,267DAB
 Osmium, Os ,76,190.23,266696
 Iridium, Ir ,77,192.217,175487
 Platinum, Pt ,78,195.084,D0D0E0
 Gold, Au ,79,196.966569,FFD123
 Mercury, Hg ,80,200.59,B8B8D0
 Thallium, Tl ,81,204.3833,A6544D
 Lead, Pb ,82,207.2,575961
 Bismuth, Bi ,83,208.98040,9E4FB5
 Polonium, Po ,84,[209],AB5C00
 Astatine, At ,85,[210],754F45
 Radon, Rn ,86,[222],428296
 Francium, Fr ,87,[223],420066
 Radium, Ra ,88,[226],007D00
 Actinium, Ac ,89,[227],70ABFA
 Thorium, Th ,90,232.03806,00BAFF
 Protactinium, Pa ,91,231.03588,00A1FF
 Uranium, U ,92,238.02891,008FFF
 Neptunium, Np ,93,[237],0080FF
 Plutonium, Pu ,94,[244],006BFF
 Americium, Am ,95,[243],545CF2
 Curium, Cm ,96,[247],785CE3
 Berkelium, Bk ,97,[247],8A4FE3
 Californium, Cf ,98,[251],A136D4
 Einsteinium, Es ,99,[252],B31FD4
 Fermium, Fm ,100,[257],B31FBA
 Mendelevium, Md ,101,[258],B30DA6
 Nobelium, No ,102,[259],BD0D87
 Lawrencium, Lr ,103,[262],C70066
 Rutherfordium, Rf ,104,[267],CC0059
 Dubnium, Db ,105,[268],D1004F
 Seaborgium, Sg ,106,[271],D90045
 Bohrium, Bh ,107,[272],E00038
 Hassium, Hs ,108,[270],E6002E
 Meitnerium, Mt ,109,[276],EB0026
 Darmstadtium, Ds ,110,[281],FF1493
 Roentgenium, Rg ,111,[280],FF1493
 Copernicium, Cn ,112,[285],FF1493
 Ununtrium, Uut ,113,[284],FF1493
 Ununquadium, Uuq ,114,[289],FF1493
 Ununpentium, Uup ,115,[288],FF1493
 Ununhexium, Uuh ,116,[293],FF1493
 Ununseptium, Uus ,117,[294],FF1493
 Ununoctium , Uuo ,118,[294],FF1493
